id;position;string_id;time;action;action_param
1;1;13;-1;none;0
1;2;14;-1;startquest;0
2;1;21;-1;none;0
2;2;22;-1;startquest;0
3;1;25;-1;scripted;10001
3;2;26;-1;scripted;10002
3;3;27;-1;none;0
3;4;28;-1;none;0
3;5;29;-1;none;0
3;6;30;-1;none;0
3;7;31;-1;none;0
3;8;32;-1;scripted;10003
3;9;33;-1;none;0
3;10;34;-1;none;0
3;11;35;-1;none;0
3;12;36;-1;none;0
3;13;37;-1;none;0
3;14;38;-1;scripted;10004
3;15;39;-1;none;0
3;16;40;-1;scripted;10005
3;17;41;-1;none;0
3;18;42;-1;none;0
3;19;43;-1;none;0
3;20;44;-1;scripted;10006
3;21;45;-1;none;0
3;22;46;-1;none;0
3;23;47;-1;scripted;10007
3;24;48;-1;none;0
3;25;49;-1;none;0
3;26;50;-1;none;0
3;27;51;-1;scripted;10008
3;28;52;-1;scripted;1
4;1;86;-1;none;0
4;2;87;-1;scripted;10009
4;3;88;-1;startquest;0
5;1;93;-1;none;0
